"1750","AAR Corp","67723000","1063272000","473226000","382933000","681369000",\N,\N,\N,"864649000","541772000","318557000","2064998000",\N,"189397000",\N,"80333000","37772000",\N,"16566000","25480000",\N,"2","2","2195653000","67720000",\N,\N,\N,\N,"262600000"
"1800","Abbott Laboratories",\N,"23768774000","15480228000","7873955000","18016565000","1026896000","12039822000",\N,"24439833000","20907362000",\N,"38851259000",\N,"12756817000",\N,\N,"530141000",\N,"544559000","470193000",\N,"3","3","60276893000","6812820000",\N,\N,\N,"5751948000","15705380000"
"1923","Servidyne, Inc.",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"1961","Worlds Inc",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"2034","Aceto Corp","16981000","191969000","73641000","11705000","17772000","6713000","39052000","131277000","168003000","102344000","82032000","444388000",\N,"56666000",\N,\N,"2627000",\N,"2628000","7759000","9402000","1","1","299280000","24862000","-15295000","-42000","13269000","25366000","33495000"
"2098","Acme United Corp","2811193","46522364","8704020","2506124","10222348",\N,"17568484","27446809","27774927","24403020","26324920",\N,\N,"22039956",\N,\N,\N,"404326","390418","1214827","1293036","1","1","55221736","7853343","3428433","-4169552","2063068","4284964",\N
"2178","Adams Resources & Energy, Inc.","22931000","304965000","256094000","69235000","176047000",\N,\N,"268158000","110682000","98567000",\N,\N,"3214399000",\N,\N,"16260000","8000",\N,\N,"12831000",\N,\N,"5","378840000","37066000","-2404000","-45377000","55815000","35533000",\N
"2186","BK Technologies, Inc.","-493000","22980000","3513000","1158000",\N,\N,\N,"3778000","28069000","-4612000",\N,\N,\N,"10785000",\N,\N,"107000",\N,"107000","-273000",\N,"0","0","31847000","2693000","-2000000","-215000","-142000","-653000",\N
"2488","Advanced Micro Devices Inc",\N,"3229000000","1774000000","726000000","2196000000",\N,\N,\N,"1590000000","-4977000000","2940000000",\N,\N,"992000000","1453000000",\N,"180000000",\N,\N,"-4000000","9000000","1","1","4954000000","869000000","-6000000","-113000000","382000000","368000000","323000000"
"2491","Bally Technologies, Inc.","101148000","480459000","214037000","30667000",\N,\N,"494375000","772992000","196108000","504895000","553443000",\N,"879759000","255043000","96182000","81500000","17378000",\N,\N,"63549000","29297000","2","2","970467000","32673000","-126946000","-35198000","130983000","179443000","171971000"
"2601","Aeroflex Inc",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"2969","AIR Products & Chemicals Inc /DE/","1224200000","3189800000","2342000000","7412000000","17227100000","72200000","3927500000","8352000000","5795800000","8599500000","2766700000","10082000000",\N,"1014400000","118800000","873900000","115500000",\N,\N,"408400000",\N,"6","6","14290700000","422500000","-484500000","-1212200000","1753200000","1622200000","892400000"
"3116","Akorn Inc","43013000","155949000","28289000","44389000",\N,\N,"100808000","148937000","158208000","-72374000","79689000","136920000",\N,"33135000","11555000","5246000","-2109000",\N,\N,"-1707000",\N,"0","0","307145000","83962000","117716000","-98380000","23003000","33266000","11863000"
