"1750","AAR Corp","55000000","1033700000","389000000","361700000","716200000","86400000","622200000",\N,"918600000","584900000","314200000","2137300000",\N,"198400000",\N,"79700000","41600000",\N,"28300000","26700000",\N,"1","1","2136900000","75300000","-123700000","-32800000","162900000",\N,"255600000"
"1800","Abbott Laboratories",\N,"31322583000","13280176000","8063047000","18928887000","308823000","18085302000",\N,"26720961000","24150996000",\N,"39873910000",\N,"12059495000",\N,\N,"592403000",\N,"575895000","299694000",\N,"4","4","67234944000","10802163000",\N,\N,\N,"8084515000","15774127000"
"1923","Servidyne, Inc.",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"1961","Worlds Inc","-1664221","229724","3525121","10891",\N,\N,\N,\N,"-3288397","-30130692",\N,\N,\N,"355761",\N,\N,\N,\N,\N,\N,\N,"0",\N,"236724","95069","467500","-7000","-517958","-1664221",\N
"2034","Aceto Corp","22328000","218300000","89907000","11410000","18633000","11714000","20355000","128790000","194640000","118615000","98271000","499690000",\N,"63855000",\N,\N,"2122000",\N,"2122000","12222000","11054000","1","1","323430000","33231000","-14306000","-1451000","23731000","34416000","33526000"
"2098","Acme United Corp","3549231","58409166","11730217","2353236","10868563",\N,"24319829","36961513","30866303","27082118","29746442",\N,\N,"24385922","572985",\N,\N,"443657","436084","1447815","831791","1","1","67827816","9749864","5394693","-2288364","-1272612","5360520",\N
"2178","Adams Resources & Energy, Inc.","27791000","324556000","266082000","90712000","197115000",\N,\N,"283643000","135858000","123743000",\N,\N,"3380964000",\N,\N,"20714000","10000",\N,"10000","16836000",\N,\N,\N,"419501000","47239000","-2615000","-41706000","54494000","44049000",\N
"2186","BK Technologies, Inc.","2065000","27332000","3695000","1113000",\N,\N,\N,"3776000","30184000","-2547000",\N,\N,\N,"10172000","3667000","420000",\N,\N,"4000","816000",\N,"0","0","33960000","6581000","23000","-739000","4604000","2893000",\N
"2488","Advanced Micro Devices Inc","-1183000000","2265000000","1397000000","658000000","2218000000",\N,\N,\N,"538000000","-6160000000","1235000000","5422000000",\N,"823000000","1354000000",\N,"175000000",\N,\N,"-34000000","9000000","-2","-2","4000000000","549000000","37000000","-19000000","-338000000","-1056000000","553000000"
"2491","Bally Technologies, Inc.","141444000","493077000","226935000","35097000",\N,\N,"580000000","860093000","119548000","646339000","646046000",\N,"997039000","276685000","111118000","88272000","18120000",\N,\N,"76574000","63693000","4","3","979265000","63220000","-151073000","-21648000","205372000","235510000","172162000"
"2601","Aeroflex Inc",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"2969","AIR Products & Chemicals Inc /DE/","1167300000","3415800000","2689900000","8240600000","18046200000","74300000","4584200000","9926000000","6477200000","9234500000","2559800000","9611700000",\N,"946800000","126400000","840800000","123700000",\N,\N,"287300000",\N,"6","5","16941800000","454400000",\N,\N,\N,"1282400000","1598400000"
"3116","Akorn Inc","35378000","158707000","43291000","80679000","116779000",\N,"104637000","168484000","201081000","-36996000","148692000","256158000",\N,"48053000","15858000","11455000","6436000",\N,"4200000","22122000",\N,"0","0","369565000","40781000","6366000","-75501000","26244000","68756000","32159000"
"3146","Spire Alabama Inc","253562000","425120000","1159782000","5541636000",\N,"50000000","1103528000",\N,"2676690000","2314055000",\N,"1617169000",\N,\N,\N,"419598000","65556000",\N,\N,"143819000",\N,"4","4","6175890000","9704000","586608000","-1322182000","735737000","459392000",\N
"3153","Alabama Power CO",\N,"6162000000","7014000000","48390000000","63251000000",\N,\N,"43770000000",\N,"9626000000",\N,\N,"16537000000",\N,\N,\N,\N,\N,\N,"1334000000","38000000","3","3","63149000000","628000000","-417000000","-5168000000","4898000000","4463000000",\N
"3197","Ceco Environmental Corp","10850000","64321000","27540000","4885000","15196000",\N,\N,"32110000","61994000","9691000","42443000","135052000",\N,"25429000",\N,\N,"1168000",\N,\N,"4513000","2637000","1","1","94104000","22994000","-2668000","-3891000","16829000","16683000","19548000"
"3453","Matson, Inc.","45900000","234100000","193400000","762500000","1770800000","16400000","302700000",\N,"279900000","40800000",\N,"1560000000",\N,"119800000",\N,"72500000","11700000",\N,\N,"33000000","42700000","1","1","1174300000","19900000",\N,\N,\N,"96700000","27000000"
"3499","Alexanders Inc","674387000",\N,\N,\N,\N,\N,\N,"1149657000","332153000","296797000",\N,\N,\N,\N,\N,"36363000",\N,\N,"47932000","64000",\N,"132","132","1481810000","353396000","-973007000","710077000","109707000","95580000",\N
"3545","Alico Inc","18489000","51467000","17148000","122834000",\N,"3267000","36633000","57537000","127546000","111659000","32232000",\N,"127187000",\N,\N,"8429000","1616000",\N,"1685000","10973000","5142000","3","3","185083000","13328000","-19320000","7678000","23634000","23742000",\N
"3570","Cheniere Energy Inc","-332780000","748563000","159763000","3282305000",\N,\N,"2167113000",\N,"510001000","-1592985000",\N,"266220000",\N,\N,"66112000","66407000","200811000",\N,\N,"4000",\N,\N,\N,"4639085000","201711000","-65075000","-84534000","-107840000","-75832000","76819000"
"3952","Allied Defense Group Inc",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"3982","Allis Chalmers Energy Inc.",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"4127","Skyworks Solutions, Inc.","202078000","883363000","182704000","279383000","754588000",\N,\N,"231171000","1905475000","100803000","667097000","1568581000",\N,"158433000","212534000",\N,"667000",\N,"239000","52898000",\N,"1","1","2136646000","306293000","-86176000","-302857000","285239000","255634000","800513000"
