"1750","AAR Corp","47700000","873100000","329000000","232800000","650100000","12000000","136100000",\N,\N,"681600000","236900000","1662600000",\N,"170800000",\N,"50000000","6400000",\N,"4700000","18800000",\N,"1","1","1442100000","31200000","-38400000","-16900000","32100000",\N,"117300000"
"1800","Abbott Laboratories","4423000000","14155000000","9186000000","5730000000","12383000000","3000000","5871000000",\N,"21211000000","25757000000",\N,"20405000000",\N,"6785000000",\N,\N,"163000000",\N,"166000000","577000000",\N,"3","3","41247000000","5001000000","-2236000000","406000000","2966000000","2867000000","9638000000"
"1923","Servidyne, Inc.",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"1961","Worlds Inc","-4037365",\N,\N,\N,\N,\N,\N,\N,"-5141478",\N,\N,\N,\N,"387625",\N,\N,"-61935","24506",\N,\N,\N,"0",\N,\N,\N,"479000",\N,"-480365","-700057",\N
"2034","Aceto Corp","34766000","352661000","98906000","10044000","20708000","197000","118592000","236336000","304442000","194804000","142785000","558524000",\N,"76820000","7937000",\N,"6997000",\N,"2970000","19088000","16076000","1","1","540778000","66828000",\N,\N,\N,"58028000","67871000"
"2098","Acme United Corp","4793525","59633487","11936753","7401478","16089380",\N,"25912652","38237805","43183561","37340395","39561218",\N,"109812000","32214212","690000",\N,\N,"570080","563837","1820872","2412008","1","1","81421366","2425891","1136049","-1913629","1079738","7347006","1406000"
"2178","Adams Resources & Energy, Inc.","-1275000","176537000","80197000","59715000","213236000",\N,\N,"90705000","152510000","140395000",\N,\N,"1944279000",\N,\N,"23717000",\N,\N,"13000","-770000",\N,\N,\N,"243215000","91877000",\N,\N,\N,"-2359000",\N
"2186","BK Technologies, Inc.","1041000","28154000","4263000","1840000",\N,\N,\N,"4629000","34820000","1259000",\N,\N,\N,"10852000","3613000","531000",\N,\N,"0","345000",\N,"0","0","39449000","4669000","92000","-3850000","-2936000","1430000",\N
"2488","Advanced Micro Devices Inc","-660000000","2320000000","1403000000","188000000","984000000",\N,"2025000000",\N,"-412000000","-7306000000","1080000000","3991000000",\N,"482000000","947000000","167000000","160000000",\N,\N,"14000000","3000000","-1","-1","3109000000","785000000","59000000","147000000","-226000000","-481000000","278000000"
"2491","Bally Technologies, Inc.",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"2601","Aeroflex Inc",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"2969","AIR Products & Chemicals Inc /DE/","1277900000","2910800000","3648100000","9636900000","20354600000","435600000","3949100000","10057000000","7249000000","10580400000","2950800000","9894900000",\N,"941700000","138800000","936400000","103500000",\N,\N,"415900000","392900000","6","6","17438100000","206400000",\N,\N,\N,"1699100000","1131300000"
"3116","Akorn Inc","150798000","751156000","231512000","179614000","246061000","52915000","1021488000","1491145000","621565000","180048000","596012000","985076000",\N,"162205000","40707000","86924000",\N,\N,"34404000","81358000",\N,"1","1","2112710000","346266000","31908000","-53718000","297648000","294611000","284710000"
"3146","Spire Alabama Inc","136900000","530100000","853800000","13700000",\N,"80000000","1771500000",\N,"1573600000","494200000",\N,\N,"1976400000",\N,\N,\N,"74600000","8000000",\N,"62200000","1300000","3","3","5290200000","13800000","-26000000","-298700000","322400000","272500000","946000000"
"3153","Alabama Power CO",\N,"6526000000","9129000000","61114000000","75118000000",\N,\N,"56175000000","20592000000","10010000000",\N,\N,"17489000000",\N,\N,\N,\N,\N,\N,"1194000000","-9000000","3","3","78318000000","1404000000","1700000000","-7280000000","6274000000","4282000000",\N
"3197","Ceco Environmental Corp","-5602000","228456000","148173000","44981000","62610000","19494000","157834000","353798000","239153000","5472000","109171000","367422000",\N,"67329000",\N,"16520000","5964000",\N,"4742000","2638000","5080000","0","0","598819000","34194000",\N,\N,\N,"4949000","220163000"
"3453","Matson, Inc.","103000000","277900000","297600000","860300000","1988900000","22000000","407900000",\N,"450600000","177000000",\N,"1884900000",\N,"195000000",\N,"83400000","18500000",\N,\N,"74800000","40000000","2","2","1669800000","25500000",\N,\N,\N,"196300000","241600000"
"3499","Alexanders Inc","76907000",\N,\N,\N,\N,\N,\N,"1094928000","352880000","304340000",\N,\N,\N,\N,\N,"33671000",\N,\N,"22354000","8000",\N,\N,\N,"1447808000","259349000",\N,\N,\N,"95205000",\N
"3545","Alico Inc","15733000","70680000","23633000","381667000",\N,"4511000","201370000","282981000","172792000","147049000","35953000",\N,"153119000",\N,\N,"14637000","8373000",\N,"6273000","10905000","5213000","2","2","460580000","7360000",\N,\N,\N,"19059000","2246000"
"3570","Cheniere Energy Inc","-975109000","1782586000","2188086000","16193907000",\N,\N,"15128145000",\N,"-901850000","-3623948000",\N,\N,"270885000",\N,"42141000","82680000","322083000",\N,\N,"-96000",\N,\N,\N,"19019589000","1201112000","378574000","-659423000","-265622000","-449313000","76819000"
"3952","Allied Defense Group Inc",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
